content,tokens
" INTRODUCTION   Yeoman Asset Management, LLC, dba Red Dot Storage (the “Company”) strives to provide an environment  in which talented individuals work collaboratively to achieve our Company goals. While it is not possible  to predict every question that you might have during your employment, this Handbook and any state specific addendum provided are intended to serve as a useful guide and to provide a frame of reference  for Company policies, procedures and expected standards of conduct. The Company encourages you to  be familiar with the contents of this Handbook, including any state-specific addendum, and keep the  following important points in mind:   • This Handbook contains only general information and guidelines. It is not comprehensive and  cannot possibly address all possible applications of, or exceptions to, the Company’s policies. If  you have any questions about a policy or practice of the Company, you should contact your  immediate supervisor or a People Team Member.  • This Handbook applies to all Company employees.   • The Handbook is intended to comply with all applicable federal, state, and local laws, and all  policies and provisions in this Handbook shall be interpreted and administered by the Company  in accordance with applicable laws.   • Nothing in this Handbook is intended to restrict communications or actions protected or required  by federal, state, or local law, including, but not limited to, the National Labor Relations Act, or to  prevent employees from communicating regarding wages, hours, other terms and conditions of  employment, or workplace health and safety practices or hazards.   • Neither this Handbook nor other Company documents confer any contractual right, either  express or implied, regarding your continued right to remain employed by the Company. This  Handbook does not guarantee any fixed term or condition of your employment. Instead, the  term of your employment with the Company is not for any specific amount of time and may be  terminated at will, with or without cause, and without prior notice by the Company. You may  also resign your employment with the Company at any time.   • The Company retains sole discretion to modify or discontinue the policies, procedures, and  practices described in this Handbook without advance notice. The Company also retains the right  to implement and maintain policies and procedures in addition to those set forth in this  Handbook.   If any provision in this Handbook is determined to be unenforceable or invalid for any reason, such finding  does not invalidate the entire Handbook, but only that particular provision.  4  MY EMPLOYMENT  ",463
" At Will Employment  Employment with the Company is at-will. Neither you nor the Company has entered into a contract  about the duration of your employment, and you are free to terminate your employment with the  Company at any time, with or without cause, and with or without reason. Likewise, the Company has  the right, in its sole discretion, at any time, to terminate your employment, with or without cause, and  with or without reason, and may otherwise discipline, transfer, or demote you at any time. The Chief  Executive Officer of the Company is the only representative of the Company who may enter into an  agreement with an employee that alters the at-will relationship, and any such agreement must be in  writing and signed by the Chief Executive Officer.  ",145
" Equal Employment Opportunity  The Company is an equal opportunity employer and strictly adheres to all applicable fair employment  practices, laws, and regulations. Discrimination in employment on the basis of any classification protected  under federal, state, or local law is a violation of Company policy and is illegal. To the extent protected  by applicable law, the Company does not discriminate in hiring or employment on the basis of race, color,  religion, sex, pregnancy, sexual orientation, gender, gender identity, gender expression, national origin,  age, disability, genetic information, veteran status, or any other characteristic protected by applicable  law.  This policy applies to all terms and conditions of employment, including, but not limited to, recruitment,  hiring, placement, training, promotion, separation of employment, reduction in force, recalls, transfers,  leaves of absence, benefits, and compensation.   The Company will make reasonable accommodations to the extent required by law with respect to an  employee’s religious beliefs or practices, pregnancy, or disability.   The Company requires employees to immediately report any incident of discrimination which they have  experienced or observed to either their immediate supervisor or a People Team Member. The Company  will promptly investigate all complaints of discrimination, take all reasonable steps to end the  discrimination, and prohibits retaliation against employees for reporting discrimination or participating in  an investigation related to discrimination.   ",259
" Accommodations  The Company will make good faith efforts to provide a reasonable accommodation to the known physical  or mental limitations of qualified employees with disabilities unless the accommodation would create an  undue hardship. Employees who believe they are qualified and have a physical or mental impairment that  is a disability, as defined by applicable law, should contact a People Team Member.  The Company will make good faith efforts to provide a reasonable accommodation of the sincerely held  religious beliefs of its employees to the extent such accommodation does not create an undue hardship.  To request such an accommodation, please contact a People Team Member. 5  The Company will also make any additional accommodations to the extent required under applicable law.  If you believe you need an accommodation to perform the essential functions of your position, please  contact a People Team Member or your supervisor.  The Company will not take adverse action against an employee because the employee requests or uses a  reasonable accommodation which is required under applicable law.   ",180
" Employment of Relatives  Family members of employees may be considered for employment as long as the family relationship is  disclosed in advance to a People Team Member and the circumstances of employment do not create an  actual or apparent conflict of interest. Employees cannot supervise (either directly or indirectly) a family  member, or otherwise be in a position to affect the other employee’s compensation, benefits, performance, or career advancement. The Company will determine whether the employment of relatives  poses an actual or potential conflict and the appropriate resolution to the actual or potential conflict in  accordance with applicable law. For purposes of this policy, the term “family members” includes parents,  stepparents, spouses, domestic partners, children, stepchildren, brothers, sisters, children’s spouses,  grandparents, grandchildren, in-laws or any individual for whom the employee is the primary care  provider.  ",164
" Relationships in the Workplace  The Company respects the right of individuals to develop and engage in personal relationships with others  they work with. As long as a personal relationship with another employee is consensual and does not  involve a reporting relationship, give rise to favoritism, or create any actual or apparent conflict of interest,  such relationships are permitted. Any romantic relationship between two Company employees must be  disclosed to a People Team Member if one employee has a supervisory role with respect to the other  employee or otherwise is in a position to affect the other employee’s compensation, benefits,  performance, or career advancement. In such an event, the Company will determine whether the  situation poses an actual or potential conflict and the appropriate resolution to the actual or potential  conflict in accordance with applicable law.  WORK TIME AND COMPENSATION  ",152
" Employee Classifications  The Company complies with the Fair Labor Standards Act (“FLSA”) and any applicable state or local wage  and hour laws. The Company classifies positions as “non-exempt” or “exempt” based on duties,  responsibilities, whether the position is paid on a salary or hourly basis, and the salary level or hourly  wage rate.  • Exempt employees are generally those in certain administrative, executive, professional, and in  some jurisdictions, certain computer positions, outside sales, and highly compensated employees  who are paid on a salaried basis to compensate these employees for all hours worked. Exempt  employees do not receive overtime pay.   • Non-exempt employees are generally those in other positions and receive overtime pay for  working overtime hours as required by applicable federal, state, and local laws and regulations.   For confirmation of whether a specific job is exempt or non-exempt, or for questions regarding whether  a job was correctly designated, employees should contact a People Team Member.  6  ",183
" Hours of Work  Standard hours of work vary depending on location and position.  The Company classifies employees as full-time, part-time or temporary for purposes of benefits:  • Full-time employees are regularly scheduled to work 35 or more hours per week. • Part-time employees are regularly scheduled to work less than 35 hours per week.  • Temporary employees are those that temporarily supplement the workforce or assist in the  completion of a specific project and are scheduled to work for a limited time period.  Generally, full-time employees are eligible for Company benefits subject to the terms and eligibility  requirements of the benefit plan or policy. Part-time and temporary employees are generally not eligible  for benefits unless required by law or the applicable plan or policy.  ",133
" Attendance and Punctuality  Attendance and punctuality are essential requirements of every position. Unnecessary absences and  lateness are expensive, disruptive and place an unfair burden on other employees and supervisors.  Excessive absenteeism or tardiness will result in disciplinary action up to and including discharge.  We do recognize, however, that there are times when absences or tardiness cannot be avoided. In such  cases, employees are expected to notify their supervisor as early as possible, and prior to the start of the  workday. Asking another employee, friend or relative to give this notice is not sufficient. Employees  should inform their supervisor of the absence and its expected duration, before the start time every day  that the employee is absent. Unreported absences of three consecutive workdays is considered job  abandonment and a voluntary resignation from employment.  ",148
" Pay Periods  The Company complies with all applicable laws governing the frequency of pay, payday schedules, and  pay upon termination of employment. Employees are paid on a bi-weekly basis. Each employee’s payroll  stub itemizes deductions and includes other information as required by applicable law. Employees should carefully review payroll stubs and bring any errors to the attention of a People Team Member immediately. Any necessary adjustments to paychecks will be made in the next payroll cycle or sooner if  required under applicable law.   ",92
